Symbol,Name,Country,Type,Industry/Objective
ABQ/H:CN,Abcana Capital Inc,CA,Common Stock,Capital Pools
EURIB:SS,European Institute of Science AB,SE,Common Stock,Venture Capital
ABDC:US,Alcentra Capital Corp,US,Common Stock,Investment Companies
ABA:PM,AbaCore Capital Holdings Inc,PH,Common Stock,Investment Companies
ABCOAMA:LX,Abersand Capital SICAV-COAM,LU,Open-End Fund,Dynamic Allocation
ABFLXCP:TB,Aberdeen Flexible Capital Fund,TH,Open-End Fund,Global Allocation
ABYIX:US,Abbey Capital Futures Strategy Fund,US,Open-End Fund,Managed Futures Discretionary
ABCAPEQ:PM,AB Capital Equity Fund UITF,PH,Open-End Fund,Growth Broad Market
ABUAX:US,Columbia Capital Allocation Moderate Portfolio,US,Fund of Funds,Moderate Allocation
ABDAX:US,Columbia Capital Allocation Conservative Portfolio,US,Fund of Funds,Conservative Allocation
ABSCRMF:TB,Aberdeen Smart Capital Retirement Mutual Fund,TH,Open-End Fund,Growth Broad Market
ABYTX:US,Abbey Capital Futures Strategy Fund,US,Open-End Fund,Managed Futures Discretionary
ABYAX:US,Abbey Capital Futures Strategy Fund,US,Open-End Fund,Managed Futures Discretionary
ABNCPSE:CH,Manulife Teda Capitalization Selection Equity Fund,CN,Open-End Fund,Aggressive Allocation
ABNRFCA:BZ,Santander FI Renda Fixa Capitalization,BR,Open-End Fund,Government Bond
ABBDX:US,Columbia Capital Allocation Conservative Portfolio,US,Fund of Funds,Conservative Allocation
ABYCX:US,Abbey Capital Futures Strategy Fund,US,Open-End Fund,Managed Futures Discretionary
ACSL:IN,Abhinav Capital Services Ltd,IN,Common Stock,Finance-Commercial
ECEX:SS,East Capital Explorer AB,SE,Common Stock,Diversified Finan Serv
ABESNDA:LX,Abersand Capital Sicav - Total Return Portfolio,LU,Open-End Fund,Global Allocation
HILCAPI:LN,Aberdeen Capital Trust,GB,Open-End Fund,Foreign Blend
ACMDX:US,Absolute Capital Defender Fund,US,Open-End Fund,Global Allocation
S3727:SM,Abedul Capital Sicav SA,ES,Open-End Fund,Global Allocation
PCABSOL:BZ,Platinum Capital Absoluto FIA,BR,Open-End Fund,Aggressive Allocation
ACMIX:US,Absolute Capital Defender Fund,US,Open-End Fund,Global Allocation
CAPOX:US,Absolute Capital Opportunities Fund,US,Open-End Fund,Multi Strategy
ACMAX:US,Absolute Capital Defender Fund,US,Open-End Fund,Global Allocation
HCAPTRU:CB,FIC Abierta Capital Trust,CO,Open-End Fund,Foreign Aggregate Bond
OTEAARI:FP,OTEA Capital - Otea Absolute Return,FR,Open-End Fund,Market Neutral
CIGGBDS:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
AAMCX:US,Absolute Capital Asset Allocator Fund,US,Open-End Fund,Global Allocation
CIGAIZG:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
KJLCARR:GR,KJL Capital Absolute Return I UI,DE,Open-End Fund,Dynamic Allocation
CAIGZLC:LX,Capital Group Global Absolute Income Grower,LU,Open-End Fund,Foreign Value
