Date,NAVPU,Symbol
2016-05-10,2.8587,ABCAPEQ:PM
2016-05-11,2.8948,ABCAPEQ:PM
2016-05-12,2.8823,ABCAPEQ:PM
2016-05-13,2.9155,ABCAPEQ:PM
2016-05-16,2.9204,ABCAPEQ:PM
2016-05-17,2.917,ABCAPEQ:PM
2016-05-18,2.9155,ABCAPEQ:PM
2016-05-19,2.8842,ABCAPEQ:PM
2016-05-20,2.8705,ABCAPEQ:PM
2016-05-23,2.8716,ABCAPEQ:PM
2016-05-24,2.8788,ABCAPEQ:PM
2016-05-25,2.8896,ABCAPEQ:PM
2016-05-26,2.8824,ABCAPEQ:PM
2016-05-27,2.8805,ABCAPEQ:PM
2016-05-30,2.8925,ABCAPEQ:PM
2016-05-31,2.8897,ABCAPEQ:PM
2016-06-01,2.9037,ABCAPEQ:PM
2016-06-02,2.8982,ABCAPEQ:PM
2016-06-03,2.9008,ABCAPEQ:PM
2016-06-06,2.9088,ABCAPEQ:PM
2016-06-07,2.9254,ABCAPEQ:PM
2016-06-08,2.9299,ABCAPEQ:PM
2016-06-09,2.9144,ABCAPEQ:PM
2016-06-10,2.9165,ABCAPEQ:PM
2016-06-13,2.905,ABCAPEQ:PM
2016-06-14,2.8866,ABCAPEQ:PM
2016-06-15,2.9075,ABCAPEQ:PM
2016-06-16,2.9241,ABCAPEQ:PM
2016-06-17,2.9421,ABCAPEQ:PM
2016-06-20,2.9445,ABCAPEQ:PM
2016-06-21,2.953,ABCAPEQ:PM
2016-06-22,2.9379,ABCAPEQ:PM
2016-06-23,2.9398,ABCAPEQ:PM
2016-06-24,2.8994,ABCAPEQ:PM
2016-06-27,2.9279,ABCAPEQ:PM
2016-06-28,2.9216,ABCAPEQ:PM
2016-06-29,2.9445,ABCAPEQ:PM
2016-06-30,2.9536,ABCAPEQ:PM
2016-07-01,2.9539,ABCAPEQ:PM
2016-07-04,2.9575,ABCAPEQ:PM
2016-07-05,2.9625,ABCAPEQ:PM
2016-07-07,2.9556,ABCAPEQ:PM
2016-07-08,2.9478,ABCAPEQ:PM
2016-07-12,2.9698,ABCAPEQ:PM
2016-07-13,2.981,ABCAPEQ:PM
2016-07-14,2.9845,ABCAPEQ:PM
2016-07-15,2.9919,ABCAPEQ:PM
2016-07-18,2.979,ABCAPEQ:PM
2016-07-19,2.9855,ABCAPEQ:PM
2016-07-20,2.9905,ABCAPEQ:PM
2016-07-21,3.0051,ABCAPEQ:PM
2016-07-22,3.0011,ABCAPEQ:PM
2016-07-25,3.0061,ABCAPEQ:PM
2016-07-26,3.0106,ABCAPEQ:PM
2016-07-27,3.0207,ABCAPEQ:PM
2016-07-28,3.0117,ABCAPEQ:PM
2016-07-29,3.0117,ABCAPEQ:PM
2016-08-01,3.015,ABCAPEQ:PM
2016-08-02,3.0065,ABCAPEQ:PM
2016-08-03,2.9838,ABCAPEQ:PM
2016-08-04,2.991,ABCAPEQ:PM
2016-08-05,2.9888,ABCAPEQ:PM
2016-08-08,2.9948,ABCAPEQ:PM
2016-08-09,2.9945,ABCAPEQ:PM
2016-08-10,2.9945,ABCAPEQ:PM
2016-08-11,2.9506,ABCAPEQ:PM
2016-08-12,2.9344,ABCAPEQ:PM
2016-08-15,2.9344,ABCAPEQ:PM
2016-08-16,2.972,ABCAPEQ:PM
2016-08-17,2.9527,ABCAPEQ:PM
2016-08-18,2.963,ABCAPEQ:PM
2016-08-19,2.974,ABCAPEQ:PM
2016-08-23,2.9718,ABCAPEQ:PM
2016-08-24,2.9604,ABCAPEQ:PM
2016-08-25,2.9671,ABCAPEQ:PM
2016-08-26,2.9668,ABCAPEQ:PM
2016-08-30,2.9542,ABCAPEQ:PM
2016-08-31,2.9417,ABCAPEQ:PM
2016-09-01,2.9478,ABCAPEQ:PM
2016-09-02,2.9499,ABCAPEQ:PM
2016-09-05,2.9491,ABCAPEQ:PM
2016-09-06,2.9437,ABCAPEQ:PM
2016-09-08,2.9262,ABCAPEQ:PM
2016-09-09,2.915,ABCAPEQ:PM
2016-09-13,2.9064,ABCAPEQ:PM
2016-09-14,2.8999,ABCAPEQ:PM
2016-09-15,2.918,ABCAPEQ:PM
2016-09-16,2.9218,ABCAPEQ:PM
2016-09-19,2.9148,ABCAPEQ:PM
2016-09-20,2.9313,ABCAPEQ:PM
2016-09-21,2.9408,ABCAPEQ:PM
2016-09-22,2.9483,ABCAPEQ:PM
2016-09-23,2.947,ABCAPEQ:PM
2016-09-26,2.9273,ABCAPEQ:PM
2016-09-27,2.9079,ABCAPEQ:PM
2016-09-28,2.9148,ABCAPEQ:PM
2016-09-29,2.9383,ABCAPEQ:PM
2016-09-30,2.9209,ABCAPEQ:PM
2016-10-03,2.9251,ABCAPEQ:PM
2016-10-05,2.9225,ABCAPEQ:PM
2016-10-06,2.9158,ABCAPEQ:PM
2016-10-07,2.9146,ABCAPEQ:PM
2016-10-10,2.9051,ABCAPEQ:PM
2016-10-11,2.9208,ABCAPEQ:PM
2016-10-12,2.867,ABCAPEQ:PM
2016-10-13,2.833,ABCAPEQ:PM
2016-10-14,2.8564,ABCAPEQ:PM
2016-10-17,2.8586,ABCAPEQ:PM
2016-10-18,2.8775,ABCAPEQ:PM
2016-10-19,2.8933,ABCAPEQ:PM
2016-10-20,2.904,ABCAPEQ:PM
2016-10-21,2.8946,ABCAPEQ:PM
2016-10-24,2.8785,ABCAPEQ:PM
2016-10-25,2.8832,ABCAPEQ:PM
2016-10-26,2.8609,ABCAPEQ:PM
2016-10-27,2.8565,ABCAPEQ:PM
2016-10-28,2.8376,ABCAPEQ:PM
2016-11-02,2.8173,ABCAPEQ:PM
2016-11-03,2.8124,ABCAPEQ:PM
2016-11-04,2.8399,ABCAPEQ:PM
2016-11-07,2.8393,ABCAPEQ:PM
2016-11-08,2.8655,ABCAPEQ:PM
2016-11-09,2.8314,ABCAPEQ:PM
2016-11-10,2.8562,ABCAPEQ:PM
2016-11-11,2.8129,ABCAPEQ:PM
2016-11-14,2.7819,ABCAPEQ:PM
2016-11-15,2.7818,ABCAPEQ:PM
2016-11-16,2.7921,ABCAPEQ:PM
2016-11-17,2.7964,ABCAPEQ:PM
2016-11-18,2.8208,ABCAPEQ:PM
2016-11-21,2.7962,ABCAPEQ:PM
2016-11-22,2.765,ABCAPEQ:PM
2016-11-23,2.7644,ABCAPEQ:PM
2016-11-24,2.7951,ABCAPEQ:PM
2016-11-25,2.7895,ABCAPEQ:PM
2016-11-28,2.7772,ABCAPEQ:PM
2016-11-29,2.7739,ABCAPEQ:PM
2016-12-01,2.796,ABCAPEQ:PM
2016-12-05,2.7758,ABCAPEQ:PM
2016-12-06,2.7792,ABCAPEQ:PM
2016-12-07,2.7842,ABCAPEQ:PM
2016-12-08,2.8023,ABCAPEQ:PM
2016-12-09,2.8076,ABCAPEQ:PM
2016-12-12,2.8019,ABCAPEQ:PM
2016-12-13,2.8043,ABCAPEQ:PM
2016-12-14,2.8069,ABCAPEQ:PM
2016-12-15,2.7905,ABCAPEQ:PM
2016-12-16,2.7865,ABCAPEQ:PM
2016-12-19,2.7719,ABCAPEQ:PM
2016-12-20,2.7647,ABCAPEQ:PM
2016-12-21,2.7784,ABCAPEQ:PM
2016-12-22,2.7566,ABCAPEQ:PM
2016-12-23,2.7548,ABCAPEQ:PM
2016-12-27,2.7691,ABCAPEQ:PM
2016-12-28,2.7798,ABCAPEQ:PM
2016-12-29,2.7972,ABCAPEQ:PM
2017-01-03,2.8046,ABCAPEQ:PM
2017-01-04,2.8331,ABCAPEQ:PM
2017-01-05,2.8516,ABCAPEQ:PM
2017-01-06,2.8503,ABCAPEQ:PM
2017-01-09,2.8753,ABCAPEQ:PM
2017-01-10,2.8675,ABCAPEQ:PM
2017-01-11,2.8735,ABCAPEQ:PM
2017-01-12,2.8566,ABCAPEQ:PM
2017-01-13,2.8453,ABCAPEQ:PM
2017-01-16,2.8708,ABCAPEQ:PM
2017-01-17,2.8409,ABCAPEQ:PM
2017-01-18,2.8555,ABCAPEQ:PM
2017-01-19,2.8888,ABCAPEQ:PM
2017-01-20,2.8696,ABCAPEQ:PM
2017-01-23,2.8993,ABCAPEQ:PM
2017-01-24,2.8993,ABCAPEQ:PM
2017-01-25,2.8831,ABCAPEQ:PM
2017-01-26,2.9037,ABCAPEQ:PM
2017-01-27,2.8993,ABCAPEQ:PM
2017-01-30,2.904,ABCAPEQ:PM
2017-01-31,2.8749,ABCAPEQ:PM
2017-02-01,2.8717,ABCAPEQ:PM
2017-02-02,2.8608,ABCAPEQ:PM
2017-02-03,2.8658,ABCAPEQ:PM
2017-02-06,2.877,ABCAPEQ:PM
2017-02-07,2.8889,ABCAPEQ:PM
2017-02-08,2.8826,ABCAPEQ:PM
2017-02-09,2.882,ABCAPEQ:PM
2017-02-10,2.8692,ABCAPEQ:PM
2017-02-13,2.8669,ABCAPEQ:PM
2017-02-15,2.8707,ABCAPEQ:PM
2017-02-16,2.8801,ABCAPEQ:PM
2017-02-17,2.8685,ABCAPEQ:PM
2017-02-20,2.8898,ABCAPEQ:PM
2017-02-21,2.8822,ABCAPEQ:PM
2017-02-22,2.893,ABCAPEQ:PM
2017-02-23,2.905,ABCAPEQ:PM
2017-02-24,2.8827,ABCAPEQ:PM
2017-02-27,2.882,ABCAPEQ:PM
2017-02-28,2.8674,ABCAPEQ:PM
2017-03-01,2.8763,ABCAPEQ:PM
2017-03-02,2.8945,ABCAPEQ:PM
2017-03-03,2.8862,ABCAPEQ:PM
2017-03-06,2.9012,ABCAPEQ:PM
2017-03-07,2.8992,ABCAPEQ:PM
2017-03-08,2.8996,ABCAPEQ:PM
2017-03-09,2.9083,ABCAPEQ:PM
2017-03-10,2.8933,ABCAPEQ:PM
2017-03-13,2.8933,ABCAPEQ:PM
2017-03-14,2.897,ABCAPEQ:PM
2017-03-15,2.8909,ABCAPEQ:PM
2017-03-16,2.8934,ABCAPEQ:PM
2017-03-17,2.9216,ABCAPEQ:PM
2017-03-20,2.9218,ABCAPEQ:PM
2017-03-21,2.9384,ABCAPEQ:PM
2017-03-22,2.8965,ABCAPEQ:PM
2017-03-23,2.9028,ABCAPEQ:PM
2017-03-24,2.8877,ABCAPEQ:PM
2017-03-27,2.8753,ABCAPEQ:PM
2017-03-28,2.8932,ABCAPEQ:PM
2017-03-29,2.8873,ABCAPEQ:PM
2017-03-30,2.8828,ABCAPEQ:PM
2017-03-31,2.8884,ABCAPEQ:PM
2017-04-04,2.9139,ABCAPEQ:PM
2017-04-05,2.9457,ABCAPEQ:PM
2017-04-06,2.9528,ABCAPEQ:PM
2017-04-07,2.979,ABCAPEQ:PM
2017-04-10,3.0009,ABCAPEQ:PM
2017-04-11,3.0006,ABCAPEQ:PM
2017-04-12,3.0,ABCAPEQ:PM
2017-04-17,2.9726,ABCAPEQ:PM
2017-04-18,2.977,ABCAPEQ:PM
2017-04-19,2.9683,ABCAPEQ:PM
2017-04-20,2.962,ABCAPEQ:PM
2017-04-21,2.9742,ABCAPEQ:PM
2017-04-24,2.9768,ABCAPEQ:PM
2017-04-25,2.9903,ABCAPEQ:PM
2017-04-26,3.0018,ABCAPEQ:PM
2017-04-27,2.9807,ABCAPEQ:PM
2017-05-02,3.0039,ABCAPEQ:PM
2017-05-03,2.9952,ABCAPEQ:PM
2017-05-04,3.0032,ABCAPEQ:PM
2017-05-05,3.0142,ABCAPEQ:PM
2016-05-10,251.59,AUBBEIF:PM
