Symbol,Name,Profile,Website,Fund Type,Inception Date,Currency
ABCAPEQ:PM,AB Capital Equity Fund UITF,The AB Capital Equity Fund is an open-end unit trust incorporated  in the Philippines. The Fund's objective is to achieve superior returns for its participants via investing primarily in common stocks listed in the Philippine Stock Exchange.,www.abcapitalonline.com,Unit Trust,2006-12-04,PHP
AUBBEIF:PM,AUB Equity Investment Fund,AUB Equity Investment Fund (AUB EIF) is a peso denominated open-end unit trust incorporated in the Philippines. The Fund's objective is for capital appreciation. The Fund invests in blue-chips and major second line issues of the stock market.,www.aub.com.ph,Unit Trust,2006-05-04,PHP
AUBPPIF:PM,AUB Peso Investment Fund,AUB Peso Investment Fund (AUB PIF) is a peso denominated open-end unit trust managed by Asia United Bank of the Philippines. The Fund's objective is capital preservation. The Fund invests in various medium-term fixed income securities. Income generated from the fixed income investments should amply cover for potential depreciation in asset value due to inflationary causes.,www.aub.com.ph,Unit Trust,2005-05-02,PHP
AUBBGDF:PM,AUB Gold Dollar Fund,AUB Gold Dollar Fund (AUB GDF) is a dollar denominated open-end unit trust managed by Asia United Bank of the Philippines. The Fund's objective is capital preservation. The Fund invests in various medium-term fixed income securities. Income generated from the fixed income investments should amply cover for potential depreciation in asset value due to inflationary causes.,www.aub.com.ph,Unit Trust,2005-05-02,USD
AUBPMMF:PM,AUB Peso Money Market Fund,AUB Peso Money Market Fund is an open-end unit trust incorporated in the Philippines. The Fund aims to provide return. The Fund invests in a diversified portolfio of short-term fixed income securities with an average maturity of not more than one year.,www.aub.com.ph,NA,2013-10-30,PHP
ATRAPRF:PM,ATRAM AsiaPlus Equity Fund,ATRAM AsiaPlus Equity Fund is an open-end mutual fund incorporated in the Philippines. The Fund's objective is to achieve capital growth. The Fund invests in a diversified portfolio of equity securities listed mainly in Asia as well as other international stock exchanges. The Fund will be 50%-90% invested in offshore equity funds and 0-40% in equity securities.,http://www.atram.com.ph,Open-End Fund,2010-03-08,USD
ALPHAOP:PM,ATRAM Alpha Opportunity Fund,ATRAM Alpha Opportunity Fund is an open-end mutual fund established in the Philippines. The Fund aims to achieve capital growth through flexible and dynamic asset allocation. The Fund invests mainly in Philippine small-cap equities.,http://www.atram.com.ph,Open-End Fund,2012-09-17,PHP
KABUHAY:PM,ATRAM Philippine Balanced Fund,"ATRAM Philippine Balanced Fund is an open-end mutual fund incorporated in the Philippines. The Fund's objective is to seek total return through current income and long-term capital growth. The Fund invests at least 40% (usually between 50-70%) of its net assets in equity securities of Philippine corportations, and the remaining in fixed income and money-market instruments.",http://www.atram.com.ph,Open-End Fund,1996-01-17,PHP
PROPBAL:PM,ATRAM Dynamic Allocation Fund,ATRAM Dynamic Allocation Fund is an open-end mutual fund incorporated in the Philippines. The Fund aims to provide total returns consisting of current income and capital growth through investments in a diversified portfolio of debt and equity securities from both domestic and foreign issuers. An adequate portion of the portfolio will be invested in cash and near cash assets.,http://www.atram.com.ph,Open-End Fund,2007-07-19,PHP
ATRKEEO:PM,ATRAM Philippine Equity Opportunity Fund,ATRAM Philippine Equity Opportunity Fund is an open-end mutual fund established in the Philippines. The Fund aims for absolute return and capital appreciation. The Fund applies a value-style investing approach when investing in equity securities.,http://www.atram.com.ph,Open-End Fund,2004-10-31,PHP
