Symbol,Name,Bank,Currency,Fund Classification,Risk Classification,Inception Date,Min. Initial Participation,Min. Additional Participation,Min. Maintaining Balance,Min. Holding Period,Cut-Off Time for Redemption,Settlement Date (T + # of Days),Trust Fee Structure,Early Redemption Fee,Benchmark
ABCAPEQ:PM,AB Capital Equity Fund,AB Capital,PHP,Equity Funds,Aggressive,2006-12-04,25000,10000,25000,"30 calendar 
			            days",12:00 PM,T + 3,1.25% PA,1.00% of the Principal,NA
AUBBEIF:PM,Equity Investment Fund,Asia United Bank,PHP,Equity Funds,Aggressive,2006-05-04,10000,1000,10000,"30 calendar 
			            days",12:00 PM,T + 3 days,1.25% per annum based on the Net Asset Value (NAV),0.50% of amount redeemed,90-day yield of the Philippine Stock Exchange Index (PSEi)
AUBBGDF:PM,Gold Dollar Fund,Asia United Bank,USD,Medium Term Bond Funds,Moderate,2005-05-03,5000,1000,5000,"30 calendar 
			            days",12:00 PM,T + 1 day,1.75% per annum based on the Net Asset Value (NAV),0.50% of amount redeemed,5-year US Treasury Notes
AUBPPIF:PM,Peso Investment Fund,Asia United Bank,PHP,Medium Term Bond Funds,Moderate,2005-05-03,10000,1000,10000,"30 calendar 
			            days",12:00 PM,T + 1 day,1.25% per annum based on the Net Asset Value (NAV),0.50% of amount redeemed,5-yr PDST-R2
AUBPMMF:PM,Peso Money Market Fund,Asia United Bank,PHP,Money Market Funds,Moderate,2013-10-30,10000,1000,10000,"30 calendar 
			            days",12:00 PM,T + 1 day,0.30% per annum based on the Net Asset Value (NAV),0.5% of amount redeemed,30 day Tbills
ATRASEQ:PM,ATRAM Asia Equity Opportunity Feeder Fund,ATRAM,PHP,Equity Funds,Aggressive,2016-12-08,1000,1000,1000,"0 calendar 
			            days",03:00 PM,"Subscription: T + 2 business days, Redemption: T + 7 business days",0.95% p.a.,none,MSCI AC Asia Pacific ex Japan Net Index
ATREMFI:PM,ATRAM Emerging Markets Bond Feeder Fund,ATRAM,USD,Long Term Bond Funds,Moderate,2013-11-13,1000,500,1000,"0 calendar 
			            days",03:00 PM,"Subscription: T + 1 business day, Redemption: T + 7 business days",0.65% p.a.,none,JP Morgan EMBI Global Index
ATREMEQ:PM,ATRAM Emerging Markets Equity Opportunity Feeder Fund,ATRAM,USD,Equity Funds,Aggressive,2013-11-13,1000,500,1000,"0 calendar 
			            days",03:00 PM,"Subscription: T + 1 business day, Redemption: T + 7 business days",0.95% p.a.,none,MSCI Emerging Markets Index
ATREUEQ:PM,ATRAM European Equity Opportunity Feeder Fund,ATRAM,USD,Equity Funds,Aggressive,2015-02-24,1000,500,1000,"0 calendar 
			            days",03:00 PM,"Subscription: T + 2 business days, Redemption: T + 7 business days",0.90% p.a.,none,MSCI Europe Net Index
ATRGLAA:PM,ATRAM Global Allocation Feeder Fund,ATRAM,USD,Balanced Funds,Aggressive,2014-07-28,1000,500,1000,"0 banking 
			            days",03:00 PM,"Subscription: T + 2 business days, Redemption: T + 7 business days",0.90% p.a.,none,Custom: 36% S&P 500 Composite; 24% FTSE World (ex-US); 24% ML US Treasury Current 5 Year; 16% Citigroup Non-USD World Government Bond Index
ATRGLDV:PM,ATRAM Global Dividend Feeder Fund,ATRAM,PHP,Equity Funds,Aggressive,2016-05-10,1000,1000,1000,"0 calendar 
			            days",03:00 PM,"Subscription: T + 2 business days, Redemption: T + 7 business days",0.90% p.a.,none,MSCI AC World Net Index
ATRGLEQ:PM,ATRAM Global Equity Opportunity Feeder Fund,ATRAM,USD,Equity Funds,Aggressive,2014-07-28,1000,500,1000,"0 banking 
			            days",03:00 PM,"Subscription: T + 2 business days, Redemption: T + 7 business days",0.90% p.a.,none,MSCI World Index
ATRGLFI:PM,ATRAM Global Total Return Bond Feeder Fund,ATRAM,USD,Long Term Bond Funds,Moderate,2014-07-28,1000,500,1000,"0 banking 
			            days",03:00 PM,"Subscription: T + 2 business days, Redemption: T + 7 business days",0.65% p.a.,none,Barclays Multiverse Index
ATRPHMM:PM,ATRAM Peso Money Market Fund,ATRAM,PHP,Money Market Funds,Conservative,2013-12-16,10000,5000,10000,"0 banking 
			            days",11:00 AM,T + 0,0.5% p.a.,None,30-day Philippine Special Savings Rate
ATRPHFI:PM,ATRAM Total Return Peso Bond Fund,ATRAM,PHP,Long Term Bond Funds,Moderate,2014-10-28,10000,5000,10000,"30 calendar 
			            days",03:00 PM,"Subscription: T + 1 business day, Redemption: T + 2 business days",1.10% p.a.,1% of amount redeemed,Bloomberg Philippine Sovereign Bond Index (adjusted)
ATRUSEQ:PM,ATRAM US Equity Opportunity Feeder Fund,ATRAM,USD,Equity Funds,Aggressive,2015-10-23,1000,500,1000,"0 calendar 
			            days",03:00 PM,"Subscription: T + 2 business days, Redemption: T + 7 business days",0.90% p.a.,none,Russel 3000 Growth Index
BNCDDFF:PM,Diversity Dividend Focused Fund,Bank of Commerce,PHP,Equity Funds,Aggressive,2015-04-08,10000,5000,10000,"30 calendar 
			            days",11:30 AM,4,1.50% p.a. based on the Net Asset Value (NAV) accrued daily,5% of the redeemed amount,Stock Exchange Index (PSEi)
BNCMDLR:PM,Diversity Dollar Bond Fund,Bank of Commerce,USD,Long Term Bond Funds,Moderate,2005-03-11,1000,100,1000,"30 calendar 
			            days",11:30 AM,1,1% p.a. based on the Net Asset value (NAV) accrued daily,5% of the redeemed amount,Bid price of 10-year Republic of the Philippines (ROP) Bonds from Bloomberg Generic (BGN) at the start of the quarter
BNCDMMF:PM,Diversity Money Market Fund,Bank of Commerce,PHP,Money Market Funds,Conservative,2013-08-16,10000,5000,10000,"30 calendar 
			            days",11:30 AM,T+1,0.25% p.a.,5% of the redeemed amount,Three-month yield based on the PDST-R2 at the start of the quarter
BNCMPST:PM,Diversity Peso Bond Fund,Bank of Commerce,PHP,Long Term Bond Funds,Moderate,2005-03-10,10000,5000,10000,"30 calendar 
			            days",11:30 AM,1,1% p.a. based on the Net Asset Value (NAV) accrued daily,5% of the redeemed amount,5-year yield based on Philippine Dealing System Treasury Reference 2(PDST-R2)
BDOCEFF:PM,BDO China Equity Feeder Fund,BDO,USD,Equity Funds,Aggressive,2015-10-29,2000,2000,2000,"0 calendar 
			            days",04:00 PM,Five (5) banking days after redemption valuation date (T + 5),1.00% p.a.,0%,80% MSCI China Index and 20% CSI 300 Index
BDODMPI:PM,BDO Developed Markets Property Index Feeder Fund,BDO,USD,Equity Funds,Aggressive,2015-04-30,2000,2000,2000,"0 calendar 
			            days",04:00 PM,Five (5) banking days after redemption valuation date (T + 5),0.50% p.a.,0%,FTSE EPRA/NAREIT Developed Markets Index
BDODBF:PM,BDO Dollar Bond Fund,BDO,USD,Intermediate Term Bond Funds,Moderate,2005-04-29,2000,2000,2000,"30 calendar 
			            days",02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),0.75% p.a.,0.50% of the Original Participation Amount,1-3 Years ROP Weighted Price Index (based on FMPH prices)
BDODMMF:PM,BDO Dollar Money Market Fund,BDO,USD,Money Market Funds,Moderate,2005-04-29,2000,2000,2000,"30 calendar 
			            days",11:30 AM,After 4:00 p.m. on the same banking day the notice of redemption is received (T + 0),0.50% p.a.,0.50% of the Original Participation Amount,US Dollar Time Deposit Rate
EPCIBEQ:PM,BDO Equity Fund,BDO,PHP,Equity Funds,Aggressive,2005-05-03,10000,10000,10000,"30 calendar 
			            days",02:30 PM,Four (4) banking days after notice of redemption is received (T + 4),1.00% p.a.,1.00% of the Original Participation Amount,PSEi
BDOEQIF:PM,BDO Equity Index Fund,BDO,PHP,Equity Funds,Aggressive,2015-07-10,10000,10000,10000,"30 calendar 
			            days",02:30 PM,Four (4) banking days after notice of redemption is received (T + 4),1.00% p.a.,0.50% of the Original Participation Amount,PSEi
BDOESGF:PM,BDO ESG Equity Fund,BDO,PHP,Equity Funds,Aggressive,2015-12-11,10000,10000,10000,"30 calendar 
			            days",02:30 PM,Four (4) banking days after notice of redemption is received (T + 4),1.00% p.a.,1.00% of the Original Participation Amount,PSEi
BDOTFEF:PM,BDO Focused Equity Fund,BDO,PHP,Equity Funds,Aggressive,2013-10-18,10000,10000,10000,"30 calendar 
			            days",02:30 PM,Four (4) banking days after the notice of redemption is received (T + 4),1.50% p.a.,1.00% of the Original Participation Amount,PSEi
BDOGESF:PM,BDO Global Equity Select Feeder Fund,BDO,USD,Equity Funds,Aggressive,2015-11-03,2000,2000,2000,"0 calendar 
			            days",04:00 PM,Five (5) banking days after redemption valuation date (T + 5),1.00% p.a.,0%,MSCI All-Country World Index (MSCI ACWI)
EPCIBGS:PM,BDO GS Fund,BDO,PHP,Medium Term Bond Funds,Moderate,2005-05-03,100000,100000,100000,"30 calendar 
			            days",02:30 PM,One (1) banking day after notice of redemption is received (T + 1),1.00% p.a.,0.50% of the Original Participation Amount,iBoxx ALBI Philippines 1-5 (Domestic) Index
BDOICRF:PM,BDO Institutional Cash Reserve Fund,BDO,PHP,Money Market Funds,Moderate,2011-11-25,0,0,0,"0 calendar 
			            days",11:30 AM,After 4:00 p.m. on the same banking day the notice of redemption is received (T + 0),None,None,Bloomberg Ave. 30-day Special Savings Rate
BDOEQTY:PM,BDO Institutional Equity Fund,BDO,PHP,Equity Funds,Aggressive,2005-06-15,1000,1000,0,"30 calendar 
			            days",02:30 PM,Five (5) banking days after notice of redemption is received (T + 5),1.00% p.a.,0.50% of the Original Participation Amount,PSEi
EPCIBUS:PM,BDO Medium Term Dollar Bond Fund,BDO,USD,Medium Term Bond Funds,Moderate,2005-05-03,2000,2000,2000,"30 calendar 
			            days",02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,1.00% of the Original Participation Amount,3-5 Years ROP Weighted Price Index (based on FMPH prices)
BDOMERB:PM,BDO Merit Fund Medium Term Fund,BDO,PHP,Medium Term Bond Funds,Moderate,2010-05-06,1000,1000,0,"0 calendar 
			            days",02:30 PM,One (1) banking day after notice of redemption is received (T + 1),0.825% p.a.,None,iBoxx ALBI Philippines 1-5 (Domestic) Index
EPCIBME:PM,BDO Merit Fund Short Term Fund,BDO,PHP,Intermediate Term Bond Funds,Moderate,2005-12-19,1000,1000,0,"0 calendar 
			            days",02:30 PM,One (1) banking day after notice of redemption is received (T + 1),0.825% p.a.,None,iBoxx ALBI Philippines 1-3 (Domestic) Index
BDOPEIF:PM,BDO Pera Equity Index Fund,BDO,PHP,Equity Funds,Aggressive,2016-12-22,1000,1000,1000,"30 calendar 
			            days",02:30 PM,Four (4) banking days after notice of redemption is received (T + 4),1.00% p.a.,1.00% of the Original Participation Amount,PSEi
BDOPBAL:PM,BDO Peso Balanced Fund,BDO,PHP,Balanced Funds,Aggressive,2003-07-03,10000,10000,10000,"30 calendar 
			            days",02:30 PM,Four (4) banking days after notice of redemption is received (T + 4),1.00% p.a.,0.50% of the Original Participation Amount,50% PSEi and 50% iBoxx ALBI Philippines 1-5 (Domestic) Index
BDOPFIF:PM,BDO Peso Bond Fund,BDO,PHP,Medium Term Bond Funds,Moderate,2005-04-29,10000,10000,10000,"30 calendar 
			            days",02:30 PM,One (1) banking day after notice of redemption is received (T + 1),1.00% p.a.,0.50% of the Original Participation Amount,iBoxx ALBI Philippines 1-5 (Domestic) Index
BDOPMMF:PM,BDO Peso Money Market Fund,BDO,PHP,Money Market Funds,Moderate,2005-04-01,100000,100000,100000,"0 calendar 
			            days",11:30 AM,After 4:00 p.m. on the same banking day the notice of redemption is received (T + 0),0.50% p.a.,None,91 Day T-Bill Rate
BDOTSDF:PM,BDO Sustainable Dividend Fund,BDO,PHP,Equity Funds,Aggressive,2013-10-18,10000,10000,10000,"30 calendar 
			            days",02:30 PM,Four (4) banking days after the notice of redemption is received (T + 4),1.25% p.a.,1.00% of the Original Participation Amount,PSEi
BDOUSEF:PM,BDO US Equity Feeder Fund,BDO,USD,Equity Funds,Aggressive,2016-04-18,2000,2000,2000,"0 calendar 
			            days",04:00 PM,Five (5) banking days after redemption valuation date (T + 5),1.00% p.a.,0%,Russell 3000 Growth Index
ABFPH:PM,ABF Philippines Bond Index Fund,BPI,PHP,Long Term Bond Funds,Moderate,2005-04-21,10000,1000,10000,"0 calendar 
			            days",12:00 PM,T+1,0.080% p.a. Trust Fee / 0.186% p.a. Management and Advisory Fee,None,iBoxx Philippines Index
BPIEQBL:PM,BPI Balanced Fund,BPI,PHP,Balanced Funds,Aggressive,2005-04-04,10000,1000,10000,"0 calendar 
			            days",02:30 PM,T+3,1.50%  p.a.,None,"50% Philippine Stock Exchange Index (PSEi) and 50% return of the 91-day Treasury Bill, net of tax."
BPIEQUI:PM,BPI Equity Fund,BPI,PHP,Equity Funds,Aggressive,2005-04-04,10000,1000,10000,"0 calendar 
			            days",02:30 PM,T+3,1.50% p.a.,None,Philippine Stock Exchange index (PSEi)
BPIEUFF:PM,BPI European Equity Feeder Fund,BPI,USD,Equity Funds,Aggressive,2014-08-05,1000,500,1000,"0 calendar 
			            days",02:00 PM,T+7,0.75% p.a.,None,MSCI Europe Index
BPIFIP:PM,BPI Fixed Income Fund Of Fund,BPI,PHP,Long Term Bond Funds,Aggressive,2016-09-01,1000000,10000,1000000,"0 calendar 
			            days",12:00 PM,T+3,None: trust fees are collected at the Target Fund level.,None,BPI Philippine Government Bond Index
BPIINFP:PM,BPI Global Bond Fund Of Fund,BPI,USD,Medium Term Bond Funds,Moderate,1998-11-02,500,200,500,"0 calendar 
			            days",12:00 PM,T+7,0.75% p.a.,None,3-month U.S. Treasury Bill
BPINSTI:PM,BPI Money Market Fund,BPI,PHP,Money Market Funds,Moderate,2005-04-04,10000,1000,10000,"0 calendar 
			            days",12:00 PM,T+0 (end-of-day),0.25% p.a.,None,"91-day Treasury Bill, net of tax"
BPIPCEI:PM,BPI Philippine Consumer Equity Index Fund,BPI,PHP,Equity Funds,Aggressive,2017-01-16,10000,1000,10000,"0 calendar 
			            days",02:30 PM,T+0,1.50%,None,BPI Philippine Consumer Equity Index
BPIDBIX:PM,BPI Philippine Dollar Bond Index Bond Fund,BPI,USD,Long Term Bond Funds,Aggressive,2006-12-31,500,200,500,"0 calendar 
			            days",12:00 PM,T+3,0.25%  p.a.,None,JPMorgan Asia Credit Philippines Total Return Index
BPIPEIF:PM,BPI Philippine Equity Index Fund,BPI,PHP,Equity Funds,Aggressive,2013-05-20,10000,1000,10000,"0 calendar 
			            days",02:30 PM,T+3,1.50% p.a.,None,Philippine Stock Exchange index (PSEi)
BPPHDEF:PM,BPI Philippine High Dividend Equity Fund,BPI,PHP,Equity Funds,Aggressive,2013-08-16,10000,1000,10000,"0 calendar 
			            days",02:30 PM,T+3,1.50% p.a.,None,Philippine Stock Exchange index (PSEi)
BPIPIEI:PM,BPI Philippine Infrastructure Equity Index Fund,BPI,PHP,Equity Funds,Aggressive,2017-01-16,10000,1000,10000,"0 calendar 
			            days",02:30 PM,T+0,1.50% p.a.,None,BPI Philippine Infrastructure Equity Index
BPIPRUI:PM,BPI Premium Bond Fund,BPI,PHP,Intermediate Term Bond Funds,Moderate,2005-04-04,10000,1000,10000,"0 calendar 
			            days",12:00 PM,T+0 (end of day),1.50% p.a.,None,BPI Philippine Government Bond 1-3 Year Index
BPSTUIT:PM,BPI Short Term Fund,BPI,PHP,Money Market Funds,Moderate,2005-04-04,10000,1000,10000,"0 calendar 
			            days",01:30 PM,T+0 (end of day),0.50% p.a.,None,91-day Treasury Bill net of tax
BPIGLPH:PM,BPI US Dollar Short Term Fund,BPI,USD,Money Market Funds,Moderate,1994-08-30,500,200,500,"0 calendar 
			            days",12:00 PM,T+0 (end-of-day),0.50% p.a.,None,3-month U.S. Treasury Bill
BPIUSFF:PM,BPI US Equity Index Feeder Fund,BPI,USD,Equity Funds,Aggressive,2014-08-05,1000,500,1000,"0 calendar 
			            days",02:00 PM,T+7,0.75% p.a.,None,S&P® 500 Index
INGAPHD:PM,Odyssey Asia Pacific High Dividend Equity Fund,BPI,USD,Equity Funds,Aggressive,2008-05-20,5000,1000,5000,"0 calendar 
			            days",02:00 PM,T+6,1.75% p.a.,None,MSCI AC Asia Pacific ex-Japan Total Return Index
